,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude
170,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Norovirus-like,2016-03-29,2016-04-06,Inactive,-79.210221,43.763575
171,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-03-29,2016-04-08,Inactive,-79.210221,43.763575
172,Mount Sinai Hospital - Unit 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza B,2016-03-26,2016-04-01,Inactive,-79.390445,43.657536
173,St. Michael's Hospital - 14 Cardinal Carter,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-18,2016-03-25,Inactive,-79.3784327,43.6542289
174,Carefree Lodge - Main Fl,303 Finch Ave E,LTCH,Respiratory,Parainfluenza,2016-03-18,2016-04-05,Inactive,-79.39289539353354,43.78461219133414
175,Belmont House - 3 Walker Wing,55 Belmont St,LTCH,Respiratory,Metapneumovirus,2016-03-17,2016-03-30,Inactive,-79.39170138466517,43.67449825
176,Seaton House,339 George St,Shelter,Respiratory,Streptococcus pyogenes,2016-03-17,2017-10-16,Inactive,-79.374262,43.659948
177,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A,2016-03-17,2016-04-04,Inactive,-79.13997840570175,43.7988385
178,True Davidson Acres - 3 East,200 Dawes Rd,LTCH,Respiratory,Influenza A,2016-03-15,2016-03-25,Inactive,-79.298175,43.69582
180,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Streptococcus pyogenes,2016-03-14,2016-06-15,Inactive,-79.40816758965518,43.78889555517242
181,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Enteric,Norovirus-like,2016-03-14,2016-03-29,Inactive,-79.40816758965518,43.78889555517242
182,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,2016-03-14,2016-03-24,Inactive,-79.1825648,43.7754026
183,Gibson Long Term Care - 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,2016-03-14,2016-03-28,Inactive,-79.3758609,43.807618
184,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,2016-03-14,2016-04-01,Inactive,-79.3361316,43.8042581
185,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A,2016-03-14,2016-04-05,Inactive,-79.2469846,43.7077593
186,Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A,2016-03-11,2016-03-22,Inactive,-79.2528019,43.7067792
187,St. George Care Community,225 St George St,LTCH,Respiratory,Influenza A,2016-03-11,2016-03-21,Inactive,-79.401462,43.672538
188,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A,2016-03-11,2016-03-21,Inactive,-79.3489587,43.7361257
189,Revera Westside,1145 Albion Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-03-10,2016-03-29,Inactive,-79.5667899,43.7373503
190,St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-03-09,2016-03-17,Inactive,-79.40424676206896,43.789755968965515
191,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Influenza A,2016-03-09,2016-03-19,Inactive,-79.42113793274277,43.673349
192,Extendicare Rouge Valley - Clarke House,551 Conlins Rd,LTCH,Respiratory,Influenza A,2016-03-09,2016-03-16,Inactive,-79.1894286,43.8029937
193,"New Horizons Tower - Fls 2, 3, 5, 7, 11, 14 & 16",1140 Bloor St W,Retirement Home,Respiratory,Unable to identify,2016-03-09,2016-03-28,Inactive,-79.43604266376147,43.659954600000006
194,Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza B,2016-03-09,2016-03-17,Inactive,-79.393199,43.699527
195,Providence Healthcare - B4 West Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,2016-03-07,2016-03-13,Inactive,-79.2861565,43.7135926
196,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A,2016-03-07,2016-03-19,Inactive,-79.3316241,43.66280613333333
197,Trilogy Long Term Care,340 McCowan Rd,LTCH,Respiratory,Influenza A,2016-03-07,2016-03-21,Inactive,-79.238633,43.73837
198,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Unable to identify,2016-03-07,2016-03-18,Inactive,-79.567569,43.643719
199,Kensington Gardens North - 2 East,45 Brunswick Ave,LTCH,Enteric,Unable to identify,2016-03-04,2016-03-21,Inactive,-79.404305,43.658784
200,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-03-04,2016-03-17,Inactive,-79.40424676206896,43.789755968965515
201,Kennedy Lodge Nursing Home - 2nd & 3rd Fl,1400 Kennedy Rd,LTCH,Respiratory,Metapneumovirus,2016-03-04,2016-03-18,Inactive,-79.28034723089634,43.763144877160734
202,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-02,2016-03-09,Inactive,-79.3784327,43.6542289
203,The Wexford,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,2016-03-02,2016-03-12,Inactive,-79.3024148,43.7438388
204,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-03-02,2016-03-31,Inactive,-79.16359737687672,43.78421151514884
205,Sienna Living - Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza A,2016-03-01,2016-03-21,Inactive,-79.2468577,43.7550969
206,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-29,2016-03-08,Inactive,-79.562235,43.610033
207,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,2016-02-29,2016-03-09,Inactive,-79.2561528,43.6979544
208,The Briton House Retirement Home,720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,2016-02-29,2016-03-31,Inactive,-79.38972427586208,43.70689917241379
209,Rouge Valley Health System - Centenary Site - 10 West,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Influenza A,2016-02-26,2016-02-29,Inactive,-79.204964,43.78009
210,Toronto Western Hospital - 8A & 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A,2016-02-24,2016-03-06,Inactive,-79.4059789,43.6537982
211,Main Street Terrace,77 Main St,LTCH,Respiratory,Influenza A,2016-02-24,2016-03-07,Inactive,-79.29894248888888,43.681406233333334
212,Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2016-02-24,2016-03-06,Inactive,-79.3792695,43.7235801
213,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza B,2016-02-24,2016-03-15,Inactive,-79.4186528,43.6647391
214,Toronto General Hospital - 5B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,2016-02-23,2016-03-07,Inactive,-79.3869528,43.6583672
215,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,Respiratory syncytial virus,2016-02-22,2016-03-02,Inactive,-79.40082,43.6866
216,St Clair O'Connor Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Respiratory,Rhinovirus,2016-02-22,2016-03-04,Inactive,-79.3117512,43.7055002
219,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-02-18,2016-03-05,Inactive,-79.3792695,43.7235801
220,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-17,2016-02-25,Inactive,-79.37434881971065,43.7182666
221,Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza A,2016-02-17,2016-03-02,Inactive,-79.373735,43.666208
222,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Respiratory syncytial virus,2016-02-16,2016-03-02,Inactive,-79.240031,43.7887289
223,The Westbury,495 The West Mall,LTCH,Respiratory,Influenza A,2016-02-12,2016-02-24,Inactive,-79.567866,43.648303
224,Mount Sinai Hospital - 10 South,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-09,2016-02-14,Inactive,-79.390445,43.657536
225,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-09,2016-02-23,Inactive,-79.40424676206896,43.789755968965515
226,Mount Sinai Hospital - 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-08,2016-02-16,Inactive,-79.390445,43.657536
228,West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-05,2016-02-19,Inactive,-79.5098225,43.687805
229,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,2016-02-05,2016-02-19,Inactive,-79.5222631,43.7562487
230,Belmont House - 2 Walker Wing,55 Belmont St,LTCH,Respiratory,Respiratory syncytial virus,2016-02-04,2016-02-16,Inactive,-79.39170138466517,43.67449825
231,The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Parainfluenza,2016-02-04,2016-02-22,Inactive,-79.4040004,43.733129
232,Salvation Army Toronto Grace Health Centre - 2nd & 3rd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-02-03,2016-02-24,Inactive,-79.415943,43.678115
233,Toronto Rehabilitation Institute - Bickle Centre - North 3,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-02-03,2016-02-19,Inactive,-79.433068,43.634967
234,Extendicare Bayview,550 Cummer Ave,LTCH,Enteric,Norovirus-like,2016-02-02,2016-02-19,Inactive,-79.3904512,43.7932278
235,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza B,2016-02-02,2016-02-08,Inactive,-79.3024148,43.7438388
236,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-02-02,2016-02-15,Inactive,-79.450101,43.639359
237,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-01,2016-02-18,Inactive,-79.387438,43.657372
238,Castleview Wychwood Towers,351 Christie St,LTCH,Respiratory,Influenza A,2016-02-01,2016-02-15,Inactive,-79.42113793274277,43.673349
239,"Runnymede Healthcare Centre-2 East, 2 West, 4 East & 4 West",625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A,2016-01-28,2016-02-11,Inactive,-79.481008,43.664497
240,Toronto Rehabilitation Institute - University Centre-8 South,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-01-28,2016-02-05,Inactive,-79.389958,43.65667
241,Holland Bloorview Kids Rehabilitation Hospital - 3W BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-28,2016-02-08,Inactive,-79.37434881971065,43.7182666
242,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-01-28,2016-02-13,Inactive,-79.450101,43.639359
244,Salvation Army Toronto Grace Health Centre - PACR (unit 4),47 Austin Terrace,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-07,Inactive,-79.415943,43.678115
245,Wellesley Central Place,160 Wellesley St E,LTCH,Respiratory,Influenza A,2016-01-25,2016-02-03,Inactive,-79.375496,43.667154
246,West Park Long Term Care Centre - 2nd Fl Weston/Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-11,Inactive,-79.5098225,43.687805
247,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-05,Inactive,-79.4561852,43.7709198
248,Eatonville Care Centre - 4th & 5th Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,2016-01-22,2016-02-05,Inactive,-79.560686,43.64745
249,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Enteric,Norovirus-like,2016-01-22,2016-02-01,Inactive,-79.4297725,43.6768778
250,Valleyview Residence,541 Finch Ave W,LTCH,Enteric,Norovirus-like,2016-01-20,2016-02-16,Inactive,-79.4482104,43.7727096
251,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-20,2016-02-19,Inactive,-79.40424676206896,43.789755968965515
252,Chester Village,3555 Danforth Ave,LTCH,Respiratory,Influenza B,2016-01-19,2016-02-03,Inactive,-79.27409672758621,43.69413068275862
253,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-01-19,2016-01-27,Inactive,-79.3792695,43.7235801
254,The O'Neill Centre,33 Christie St,LTCH,Enteric,Unable to identify,2016-01-19,2016-01-25,Inactive,-79.4186528,43.6647391
256,Villa Colombo - 2nd Fl - Fusco Wing,40 Playfair Ave,LTCH,Enteric,Norovirus-like,2016-01-14,2016-01-29,Inactive,-79.45668174072816,43.71094909999999
258,"Midland Gardens Care Community - 3rd, 4th & 6th Fl",130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-01-11,2016-02-01,Inactive,-79.2469846,43.7077593
259,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-01-11,2016-01-18,Inactive,-79.3792695,43.7235801
260,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Coronavirus,2016-01-11,2016-01-26,Inactive,-79.13997840570175,43.7988385
261,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Rhinovirus,2016-01-08,2016-02-09,Inactive,-79.567569,43.643719
262,West Park Long Term Care Centre - 3rd Fl -Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2016-01-08,2016-01-21,Inactive,-79.5098225,43.687805
263,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Coronavirus,2016-01-07,2016-01-18,Inactive,-79.1825648,43.7754026
264,Elm Grove Living Centre - 1st & 3rd Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2016-01-06,2016-01-15,Inactive,-79.43074080619229,43.6403384
265,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Enteric,Norovirus-like,2016-01-04,2016-01-25,Inactive,-79.616344,43.731729
266,The Heritage Nursing Home,1195 Queen St E,LTCH,Enteric,Norovirus-like,2016-01-04,2016-01-18,Inactive,-79.3316241,43.66280613333333
268,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-10,Inactive,-79.39170138466517,43.67449825
269,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-26,Inactive,-79.48187197868482,43.71729432043269
270,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-08,Inactive,-79.2753435,43.7058073
271,Greenview Lodge Retirement Home,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A,2017-12-29,2018-01-15,Inactive,-79.3489587,43.7361257
272,Toronto General Hospital - 8 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2017-12-28,2018-01-05,Inactive,-79.3869528,43.6583672
273,Baycrest Hospital - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2017-12-27,2018-01-05,Inactive,-79.4361036,43.7292745
274,William Osler Health System - 10th Fl Medicine/Respiratory,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-12-26,2018-01-02,Inactive,-79.5991896,43.7306053
276,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2017-12-25,2018-01-09,Inactive,-79.341769,43.709379
277,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-12-25,2018-01-03,Inactive,-79.3792695,43.7235801
278,Castleview Wychwood Tower - 5th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,2017-12-24,2018-01-05,Inactive,-79.42113793274277,43.673349
279,Chartwell Trilogy Long Term Care Residence - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,2017-12-24,2018-01-02,Inactive,-79.238633,43.73837
280,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-12-22,2017-12-30,Inactive,-79.3792695,43.7235801
281,"St. Hilda's Towers - Dufferin Tower - MED, RIU & TCP",2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2017-12-22,2017-12-28,Inactive,-79.449681,43.69459
282,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-12-22,2017-12-30,Inactive,-79.450101,43.639359
283,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2017-12-21,2018-01-13,Inactive,-79.2469846,43.7077593
285,Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2017-12-20,2018-01-03,Inactive,-79.4361036,43.7292745
286,Sunnybrook Health Sciences Centre - CrCU,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2017-12-20,2018-05-01,Inactive,-79.3792695,43.7235801
287,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Norovirus-like,2017-12-20,2018-01-03,Inactive,-79.39170138466517,43.67449825
288,Living Life on the Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza B,2017-12-19,2018-01-02,Inactive,-79.410136,43.705781
289,Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus-like,2017-12-19,2018-01-29,Inactive,-79.347342,43.732464
290,Bridgepoint Active Healthcare - 7 North & 6 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Unable to identify,2017-12-18,2017-12-28,Inactive,-79.3554469,43.6658608
291,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,Influenza A,2017-12-18,2017-12-27,Inactive,-79.4482104,43.7727096
292,New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus-like,2017-12-18,2018-01-09,Inactive,-79.43604266376147,43.659954600000006
293,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2017-12-18,2017-12-31,Inactive,-79.1894286,43.8029937
294,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Respiratory syncytial virus,2017-12-18,2018-01-05,Inactive,-79.5200627,43.6838785
295,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,2017-12-15,2017-12-27,Inactive,-79.43074080619229,43.6403384
296,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-12-15,2017-12-29,Inactive,-79.5991896,43.7306053
297,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,2017-12-14,2017-12-23,Inactive,-79.3792695,43.7235801
298,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-12-14,2017-12-23,Inactive,-79.450101,43.639359
299,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,2017-12-14,2017-12-22,Inactive,-79.2034339,43.7794412
300,Fieldstone Commons Care Community - 4A & 4B,1000 Ellesmere Rd,LTCH,Enteric,Norovirus-like,2017-12-13,2018-01-11,Inactive,-79.277814,43.766995
301,St. Hilda's Towers - RIU,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2017-12-13,2017-12-19,Inactive,-79.449681,43.69459
302,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-12,2017-12-27,Inactive,-79.3792695,43.7235801
303,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-11,2018-01-05,Inactive,-79.3904512,43.7932278
304,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A,2017-12-11,2018-01-02,Inactive,-79.203089,43.7462823
306,The Hospital for Sick Children - 7D,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,2017-12-11,2017-12-18,Inactive,-79.387438,43.657372
307,Centre for Addiction and Mental Health - Unit 5,250 College St,Hospital-Psychiatric,Enteric,Unable to identify,2017-12-10,2017-12-18,Inactive,-79.3993314,43.6598547
308,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,2017-12-08,2017-12-18,Inactive,-79.4561852,43.7709198
309,North York General Hospital - Seniors' Health Centre- 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,2017-12-08,2017-12-26,Inactive,-79.35998,43.772849
311,Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2017-12-08,2017-12-21,Inactive,-79.3792695,43.7235801
312,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2017-12-07,2017-12-14,Inactive,-79.3792695,43.7235801
313,Bridgepoint Active Healthcare - 9 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2017-12-07,2017-12-14,Inactive,-79.3554469,43.6658608
314,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,2017-12-06,2017-12-14,Inactive,-79.2180677,43.7407432
315,The Wexford Residence - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2017-12-06,2017-12-15,Inactive,-79.3024148,43.7438388
316,Baycrest Apotex Centre - 7RF,3560 Bathurst St,LTCH,Respiratory,Parainfluenza,2017-12-05,2017-12-14,Inactive,-79.4361036,43.7292745
317,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-04,2017-12-20,Inactive,-79.2468577,43.7550969
318,Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-03,2017-12-17,Inactive,-79.3792695,43.7235801
