,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status
201,Kennedy Lodge Nursing Home - 2nd & 3rd Fl,1400 Kennedy Rd,LTCH,Respiratory,Metapneumovirus,2016-03-04,2016-03-18,Inactive
202,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-02,2016-03-09,Inactive
203,The Wexford,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,2016-03-02,2016-03-12,Inactive
204,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-03-02,2016-03-31,Inactive
205,Sienna Living - Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza A,2016-03-01,2016-03-21,Inactive
206,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-29,2016-03-08,Inactive
207,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,2016-02-29,2016-03-09,Inactive
208,The Briton House Retirement Home,720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,2016-02-29,2016-03-31,Inactive
209,Rouge Valley Health System - Centenary Site - 10 West,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Influenza A,2016-02-26,2016-02-29,Inactive
210,Toronto Western Hospital - 8A & 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A,2016-02-24,2016-03-06,Inactive
211,Main Street Terrace,77 Main St,LTCH,Respiratory,Influenza A,2016-02-24,2016-03-07,Inactive
212,Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2016-02-24,2016-03-06,Inactive
213,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza B,2016-02-24,2016-03-15,Inactive
214,Toronto General Hospital - 5B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,2016-02-23,2016-03-07,Inactive
215,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,Respiratory syncytial virus,2016-02-22,2016-03-02,Inactive
216,St Clair O'Connor Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Respiratory,Rhinovirus,2016-02-22,2016-03-04,Inactive
217,Providence Healthcare - Houses Of Providence -,3276 St Clair Ave E - 2 West (Elm & Pine),LTCH,Respiratory,Influenza A,2016-02-21,2016-02-25,Inactive
218,Eatonville Care Centre,420 The West Mall,LTCH,Respiratory,Influenza A,2016-02-18,2016-03-12,Inactive
219,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-02-18,2016-03-05,Inactive
220,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-17,2016-02-25,Inactive
221,Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza A,2016-02-17,2016-03-02,Inactive
222,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Respiratory syncytial virus,2016-02-16,2016-03-02,Inactive
223,The Westbury,495 The West Mall,LTCH,Respiratory,Influenza A,2016-02-12,2016-02-24,Inactive
224,Mount Sinai Hospital - 10 South,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-09,2016-02-14,Inactive
225,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-09,2016-02-23,Inactive
226,Mount Sinai Hospital - 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-08,2016-02-16,Inactive
227,West Park Long Term Care Centre - 1st Fl -,82 Buttonwood Ave - (Kingsway/Ilaaci unit),LTCH,Respiratory,Respiratory syncytial virus,2016-02-08,2016-02-18,Inactive
228,West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-05,2016-02-19,Inactive
229,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,2016-02-05,2016-02-19,Inactive
230,Belmont House - 2 Walker Wing,55 Belmont St,LTCH,Respiratory,Respiratory syncytial virus,2016-02-04,2016-02-16,Inactive
231,The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Parainfluenza,2016-02-04,2016-02-22,Inactive
232,Salvation Army Toronto Grace Health Centre - 2nd & 3rd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-02-03,2016-02-24,Inactive
233,Toronto Rehabilitation Institute - Bickle Centre - North 3,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-02-03,2016-02-19,Inactive
234,Extendicare Bayview,550 Cummer Ave,LTCH,Enteric,Norovirus-like,2016-02-02,2016-02-19,Inactive
235,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza B,2016-02-02,2016-02-08,Inactive
236,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-02-02,2016-02-15,Inactive
237,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-01,2016-02-18,Inactive
238,Castleview Wychwood Towers,351 Christie St,LTCH,Respiratory,Influenza A,2016-02-01,2016-02-15,Inactive
239,"Runnymede Healthcare Centre-2 East, 2 West, 4 East & 4 West",625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A,2016-01-28,2016-02-11,Inactive
240,Toronto Rehabilitation Institute - University Centre-8 South,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-01-28,2016-02-05,Inactive
241,Holland Bloorview Kids Rehabilitation Hospital - 3W BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-28,2016-02-08,Inactive
242,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-01-28,2016-02-13,Inactive
243,Seven Oaks - 1st & 4th Fl,9 Nielson Rd,LTCH,Respiratory,Metapneumovirus,2016-01-27,2016-02-07,Inactive
244,Salvation Army Toronto Grace Health Centre - PACR (unit 4),47 Austin Terrace,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-07,Inactive
245,Wellesley Central Place,160 Wellesley St E,LTCH,Respiratory,Influenza A,2016-01-25,2016-02-03,Inactive
246,West Park Long Term Care Centre - 2nd Fl Weston/Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-11,Inactive
247,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-05,Inactive
248,Eatonville Care Centre - 4th & 5th Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,2016-01-22,2016-02-05,Inactive
249,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Enteric,Norovirus-like,2016-01-22,2016-02-01,Inactive
250,Valleyview Residence,541 Finch Ave W,LTCH,Enteric,Norovirus-like,2016-01-20,2016-02-16,Inactive
251,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-20,2016-02-19,Inactive
252,Chester Village,3555 Danforth Ave,LTCH,Respiratory,Influenza B,2016-01-19,2016-02-03,Inactive
253,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-01-19,2016-01-27,Inactive
254,The O'Neill Centre,33 Christie St,LTCH,Enteric,Unable to identify,2016-01-19,2016-01-25,Inactive
255,Isabel & Arthur Meighen Health Centre - 3rd Fl -,155 Millwood Rd -  (Lawrence & Fisher unit),LTCH,Respiratory,Influenza A,2016-01-15,2016-01-26,Inactive
256,Villa Colombo - 2nd Fl - Fusco Wing,40 Playfair Ave,LTCH,Enteric,Norovirus-like,2016-01-14,2016-01-29,Inactive
257,Lakeshore Lodge - 3rd Fl,3197 Lakeshore Blvd W,LTCH,Enteric,Norovirus-like,2016-01-13,2016-01-22,Inactive
258,"Midland Gardens Care Community - 3rd, 4th & 6th Fl",130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-01-11,2016-02-01,Inactive
259,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-01-11,2016-01-18,Inactive
260,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Coronavirus,2016-01-11,2016-01-26,Inactive
261,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Rhinovirus,2016-01-08,2016-02-09,Inactive
262,West Park Long Term Care Centre - 3rd Fl -Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2016-01-08,2016-01-21,Inactive
263,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Coronavirus,2016-01-07,2016-01-18,Inactive
264,Elm Grove Living Centre - 1st & 3rd Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2016-01-06,2016-01-15,Inactive
265,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Enteric,Norovirus-like,2016-01-04,2016-01-25,Inactive
266,The Heritage Nursing Home,1195 Queen St E,LTCH,Enteric,Norovirus-like,2016-01-04,2016-01-18,Inactive
267,Fairview Nursing Home,14 Cross St,LTCH,Respiratory,Metapneumovirus,2016-01-03,2016-01-21,Inactive
268,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-10,Inactive
269,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-26,Inactive
270,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-08,Inactive
271,Greenview Lodge Retirement Home,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A,2017-12-29,2018-01-15,Inactive
272,Toronto General Hospital - 8 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2017-12-28,2018-01-05,Inactive
273,Baycrest Hospital - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2017-12-27,2018-01-05,Inactive
274,William Osler Health System - 10th Fl Medicine/Respiratory,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-12-26,2018-01-02,Inactive
275,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-2,Hospital-Psychiatric,Respiratory,Influenza A,2017-12-26,2018-01-10,Inactive
276,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2017-12-25,2018-01-09,Inactive
277,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-12-25,2018-01-03,Inactive
278,Castleview Wychwood Tower - 5th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,2017-12-24,2018-01-05,Inactive
279,Chartwell Trilogy Long Term Care Residence - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,2017-12-24,2018-01-02,Inactive
280,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-12-22,2017-12-30,Inactive
281,"St. Hilda's Towers - Dufferin Tower - MED, RIU & TCP",2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2017-12-22,2017-12-28,Inactive
282,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-12-22,2017-12-30,Inactive
283,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2017-12-21,2018-01-13,Inactive
284,Centre for Addiction and Mental Health - Queen Site -,1001 Queen St W - Unit 1-3 LGUB,Hospital-Psychiatric,Respiratory,Unable to identify,2017-12-21,2017-12-30,Inactive
285,Baycrest Hospital - 7 East,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2017-12-20,2018-01-03,Inactive
286,Sunnybrook Health Sciences Centre - CrCU,2075 Bayview Ave,Hospital-Acute Care,Enteric,Clostridium difficile,2017-12-20,2018-05-01,Inactive
287,Belmont House - 4WW,55 Belmont St,LTCH,Enteric,Norovirus-like,2017-12-20,2018-01-03,Inactive
288,Living Life on the Avenue Retirement Residence,1066 Avenue Rd,Retirement Home,Respiratory,Influenza B,2017-12-19,2018-01-02,Inactive
289,Better Living at Thompson House,1 Overland Dr,LTCH,Enteric,Norovirus-like,2017-12-19,2018-01-29,Inactive
290,Bridgepoint Active Healthcare - 7 North & 6 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Unable to identify,2017-12-18,2017-12-28,Inactive
291,Valleyview Residence - 3 East,541 Finch Ave W,LTCH,Respiratory,Influenza A,2017-12-18,2017-12-27,Inactive
292,New Horizons Tower,1140 Bloor St W,Retirement Home,Enteric,Norovirus-like,2017-12-18,2018-01-09,Inactive
293,Extendicare Rouge Valley,551 Conlins Rd,LTCH,Respiratory,Influenza A,2017-12-18,2017-12-31,Inactive
294,Ukrainian Canadian Care Centre,60 Richview Rd,LTCH,Respiratory,Respiratory syncytial virus,2017-12-18,2018-01-05,Inactive
295,Elm Grove Living Centre - 1st & 2nd Fl,35 Elm Grove Ave,LTCH,Respiratory,Unable to identify,2017-12-15,2017-12-27,Inactive
296,William Osler Health System - 7 West,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-12-15,2017-12-29,Inactive
297,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza B,2017-12-14,2017-12-23,Inactive
298,St. Joseph's Health Centre - 3M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2017-12-14,2017-12-23,Inactive
299,Seven Oaks - 3rd Fl,9 Neilson Rd,LTCH,Respiratory,Unable to identify,2017-12-14,2017-12-22,Inactive
300,Fieldstone Commons Care Community - 4A & 4B,1000 Ellesmere Rd,LTCH,Enteric,Norovirus-like,2017-12-13,2018-01-11,Inactive
301,St. Hilda's Towers - RIU,2339 Dufferin St,Retirement Home,Enteric,Unable to identify,2017-12-13,2017-12-19,Inactive
302,Sunnybrook Health Sciences Centre - LSSE & LSSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-12,2017-12-27,Inactive
303,Extendicare Bayview,550 Cummer Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-11,2018-01-05,Inactive
304,Extendicare Guildwood,60 Guildwood Pky,LTCH,Respiratory,Influenza A,2017-12-11,2018-01-02,Inactive
305,Centre for Addiction and Mental Health - Queen Site,1001 Queen St W - 80 Workman Way - 3rd Fl,Hospital-Psychiatric,Enteric,Unable to identify,2017-12-11,2017-12-18,Inactive
306,The Hospital for Sick Children - 7D,555 University Ave,Hospital-Acute Care,Enteric,Norovirus-like,2017-12-11,2017-12-18,Inactive
307,Centre for Addiction and Mental Health - Unit 5,250 College St,Hospital-Psychiatric,Enteric,Unable to identify,2017-12-10,2017-12-18,Inactive
308,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Unable to identify,2017-12-08,2017-12-18,Inactive
309,North York General Hospital - Seniors' Health Centre- 3rd Fl,2 Buchan Crt,LTCH,Respiratory,Unable to identify,2017-12-08,2017-12-26,Inactive
310,Yee Hong Centre For Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 4th Fl,LTCH,Enteric,Norovirus-like,2017-12-08,2017-12-20,Inactive
311,Sunnybrook Health Sciences Centre - D4,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Coronavirus,2017-12-08,2017-12-21,Inactive
312,Sunnybrook Health Sciences Centre - LGSE,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2017-12-07,2017-12-14,Inactive
313,Bridgepoint Active Healthcare - 9 South,1 Bridgepoint Dr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2017-12-07,2017-12-14,Inactive
314,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,2017-12-06,2017-12-14,Inactive
315,The Wexford Residence - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,2017-12-06,2017-12-15,Inactive
316,Baycrest Apotex Centre - 7RF,3560 Bathurst St,LTCH,Respiratory,Parainfluenza,2017-12-05,2017-12-14,Inactive
317,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-04,2017-12-20,Inactive
318,Sunnybrook Health Sciences Centre - LFSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-12-03,2017-12-17,Inactive
319,Chartwell Gibson Retirement Residence,1955 Steeles Ave E,Retirement Home,Enteric,Norovirus-like,2017-12-01,2017-12-15,Inactive
320,St. Michael's Hospital - 4 Donnelly - Palliative Care,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2017-12-01,2017-12-09,Inactive
321,St. Hilda's Towers - Vaughan Tower - Medical Unit,2239 Dufferin St,Retirement Home,Enteric,Norovirus-like,2017-11-30,2017-12-08,Inactive
322,Sunnybrook Health Sciences Centre - K2C,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-11-30,2017-12-11,Inactive
323,Chartwell Gibson Long Term Care - Units 2 & 3,1925 Steeles Ave E,LTCH,Respiratory,Influenza A,2017-11-29,2017-12-15,Inactive
324,Harold and Grace Retirement Residence - 4th & 6th Fl,1 Northwestern Ave,Retirement Home,Enteric,Unable to identify,2017-11-24,2017-12-04,Inactive
325,West Park Healthcare Centre - 2WF,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Unable to identify,2017-11-23,2017-12-02,Inactive
326,Harold and Grace Baker Centre,1 Northwestern Ave,LTCH,Enteric,Norovirus-like,2017-11-23,2017-12-04,Inactive
327,Mon Sheong Scarborough Long Term Care - Ground Fl,2030 McNicoll Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-11-21,2017-11-29,Inactive
328,Bendale Acres - 2 East Unit & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A,2017-11-20,2017-12-05,Inactive
329,Scarborough Retirement Residence,148 Markham Rd,Retirement Home,Respiratory,Influenza B,2017-11-20,2017-12-05,Inactive
330,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-11-15,2017-11-24,Inactive
331,Vermont Square - 4th Fl,914 Bathurst St,LTCH,Respiratory,Respiratory syncytial virus,2017-11-14,2017-11-30,Inactive
332,Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Enteric,Unable to identify,2017-11-03,2017-11-20,Inactive
333,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Enterovirus/Rhinovirus,2017-11-03,2017-11-11,Inactive
334,Extendicare Craiglee - 1 West,102 Craiglee Dr,LTCH,Respiratory,Influenza A,2017-11-02,2017-12-03,Inactive
335,Tendercare Living Centre - 3rd Fl,1020 McNicoll Ave,LTCH,Enteric,Norovirus-like,2017-11-01,2017-11-13,Inactive
336,Suomi Koti Nursing Home,795 Eglinton Ave E,LTCH,Respiratory,Parainfluenza,2017-11-01,2017-11-10,Inactive
337,"Rockcliffe Care Community - 1st, 2nd & 3rd Fl",3015 Lawrence Ave E,LTCH,Respiratory,Unable to identify,2017-10-31,2017-11-23,Inactive
338,147 Elder Street,147 Elder St,Retirement Home,Respiratory,Unable to identify,2017-10-31,2017-11-16,Inactive
339,"True Davidson Acres - 1 West, 2 East & 2 West",200 Dawes Rd,LTCH,Enteric,Norovirus-like,2017-10-31,2017-11-08,Inactive
340,Kensington Gardens - North Building - 1 East,45 Brunswick Ave,LTCH,Respiratory,Unable to identify,2017-10-27,2017-11-05,Inactive
341,Yee Hong Centre for Geriatric Care - Scarborough Finch -,60 Scottfield Dr - 2nd Fl,LTCH,Respiratory,Unable to identify,2017-10-19,2017-10-28,Inactive
342,Vermont Square - 3rd Fl,914 Bathurst St,LTCH,Respiratory,Unable to identify,2017-10-17,2017-11-06,Inactive
343,McCall Centre for Continuing Care - 3rd Fl Rehab,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Unable to identify,2017-10-17,2017-10-26,Inactive
344,Sunnybrook Health Sciences Centre - LSSE,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2017-10-16,2017-10-29,Inactive
345,Fudger House - 1 West Unit & 3 West Unit,439 Sherbourne St,LTCH,Respiratory,Unable to identify,2017-10-11,2017-10-26,Inactive
346,Centre for Addiction and Mental Health - Queen Site - GAU-B,1001 Queen St W,Hospital-Psychiatric,Respiratory,Unable to identify,2017-10-09,2017-10-26,Inactive
347,Seven Oaks - 4th Fl - LTCH,9 Neilson Rd,LTCH,Respiratory,Unable to identify,2017-09-27,2017-10-04,Inactive
348,Sunnybrook Health Sciences Centre - K2W,2075 Bayview Ave,LTCH,Respiratory,Parainfluenza,2017-09-26,2017-10-05,Inactive
349,Better Living At Thompson House - 3rd Fl,1 Overland Dr,LTCH,Respiratory,Rhinovirus,2017-09-15,2017-09-26,Inactive
350,Bendale Acres - 1st Fl West & 5th Fl,2920 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-09-14,2017-09-27,Inactive
351,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,Rhinovirus,2017-09-13,2017-09-25,Inactive
352,Extendacare Rouge Valley,551 Conlins Rd,LTCH,Enteric,Norovirus-like,2017-09-13,2017-09-20,Inactive
353,Providence Healthcare - Houses of Providence - HOP 1 West,3276 St Clair Ave E - Balsam & Maple,LTCH,Respiratory,Rhinovirus,2017-09-12,2017-09-20,Inactive
354,The Wexford - 5th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Rhinovirus,2017-09-12,2017-09-26,Inactive
355,Cummer Lodge - 3rd Fl North,205 Cummer Ave,LTCH,Respiratory,Rhinovirus,2017-09-12,2017-10-10,Inactive
356,Seniors' Health Centre - 1st Fl,2 Buchan Crt,LTCH,Respiratory,Rhinovirus,2017-09-11,2017-09-19,Inactive
357,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Rhinovirus,2017-09-08,2017-09-20,Inactive
358,Providence Healthcare - Houses of Providence - HOP 3 & 4,3276 St Clair Ave E,LTCH,Enteric,Norovirus-like,2017-09-07,2017-09-19,Inactive
359,The Scarborough and Rouge Hospital - General Site - Tower 7,3050 Lawrence Ave E,Hospital-Acute Care,Respiratory,Rhinovirus,2017-08-30,2017-09-07,Inactive
360,The O'Neill Centre - 4th Fl,33 Christie St,LTCH,Respiratory,Rhinovirus,2017-08-30,2017-09-18,Inactive
361,West Park Long Term Care Centre - Humber & York Unit,82 Buttonwood Ave,LTCH,Respiratory,Rhinovirus,2017-08-28,2017-09-14,Inactive
