,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent,Date Outbreak Began,Date Declared Over,Outbreak Status,Longitude,Latitude,Outbreak Year,Outbreak Month,Outbreak Season
150,Sunnybrook Health Sciences Centre - K1W,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-04-19,2016-04-29,Inactive,-79.3792695,43.7235801,2016,April,Spring
151,Amica at the Balmoral Club,155 Balmoral Ave,Retirement Home,Enteric,Norovirus-like,2016-04-18,2016-05-02,Inactive,-79.400293,43.68429,2016,April,Spring
152,Better Living at Thompson House,1 Overland Dr,LTCH,Respiratory,Influenza B,2016-04-17,2016-05-02,Inactive,-79.347342,43.732464,2016,April,Spring
153,Sunnybrook Health Sciences Centre - C2,2075 Bayview Ave,Hospital-Acute Care,Respiratory,Influenza B,2016-04-14,2016-04-25,Inactive,-79.3792695,43.7235801,2016,April,Spring
154,Chartwell Guildwood Retirement Residence,65 Livingston Rd,Retirement Home,Respiratory,Coronavirus,2016-04-13,2016-04-29,Inactive,-79.1980788,43.7451732,2016,April,Spring
155,Elm Grove Living Centre,35 Elm Grove Ave,LTCH,Respiratory,Influenza B,2016-04-12,2016-04-19,Inactive,-79.43074080619229,43.6403384,2016,April,Spring
156,Extendicare Rouge Valley - Highland Creek,551 Conlins Rd,LTCH,Respiratory,Coronavirus,2016-04-11,2016-04-20,Inactive,-79.1894286,43.8029937,2016,April,Spring
157,Norfinch Care Community - 3A,22 Norfinch Dr,LTCH,Respiratory,Unable to identify,2016-04-11,2016-04-16,Inactive,-79.52465315351665,43.75628127207558,2016,April,Spring
158,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Parainfluenza,2016-04-07,2016-05-11,Inactive,-79.2469846,43.7077593,2016,April,Spring
159,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-04-05,2016-04-11,Inactive,-79.40424676206896,43.789755968965515,2016,April,Spring
160,Sunnybrook Health Sciences Centre - LGSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-04-05,2016-04-22,Inactive,-79.3792695,43.7235801,2016,April,Spring
161,Salvation Army Toronto Grace Health Centre - 2nd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Metapneumovirus,2016-04-04,2016-04-10,Inactive,-79.415943,43.678115,2016,April,Spring
162,Mon Sheong Home for the Aged - 3rd Fl,36 D'Arcy St,LTCH,Respiratory,Influenza A,2016-04-04,2016-04-12,Inactive,-79.39325999536922,43.6553005,2016,April,Spring
163,Wesburn Manor,400 The West Mall,LTCH,Enteric,Norovirus-like,2016-04-04,2016-04-20,Inactive,-79.567569,43.643719,2016,April,Spring
164,West Park Healthcare Centre - 2EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-04-04,2016-04-22,Inactive,-79.5098225,43.687805,2016,April,Spring
165,Scarborough Hospital General Campus - CP4,3050 Lawrence Ave E,Hospital-Acute Care,Enteric,Clostridium difficile,2016-04-02,2016-04-13,Inactive,-79.246316,43.7566259,2016,April,Spring
166,Casey House,9 Huntley St,Hospital-Chronic Care,Respiratory,Influenza B,2016-04-01,2016-04-15,Inactive,-79.377641,43.668735,2016,April,Spring
167,North York General Hospital - 6W,4001 Leslie St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-29,2016-04-05,Inactive,-79.362213,43.7699003,2016,March,Spring
168,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Enteric,Norovirus-like,2016-03-29,2016-04-06,Inactive,-79.210221,43.763575,2016,March,Spring
169,Extendicare Scarborough,3830 Lawrence Ave E,LTCH,Respiratory,Metapneumovirus,2016-03-29,2016-04-08,Inactive,-79.210221,43.763575,2016,March,Spring
170,Mount Sinai Hospital - Unit 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza B,2016-03-26,2016-04-01,Inactive,-79.390445,43.657536,2016,March,Spring
171,St. Michael's Hospital - 14 Cardinal Carter,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-18,2016-03-25,Inactive,-79.3784327,43.6542289,2016,March,Spring
172,Carefree Lodge - Main Fl,303 Finch Ave E,LTCH,Respiratory,Parainfluenza,2016-03-18,2016-04-05,Inactive,-79.39289539353354,43.78461219133414,2016,March,Spring
173,Belmont House - 3 Walker Wing,55 Belmont St,LTCH,Respiratory,Metapneumovirus,2016-03-17,2016-03-30,Inactive,-79.39170138466517,43.67449825,2016,March,Spring
174,Seaton House,339 George St,Shelter,Respiratory,Streptococcus pyogenes,2016-03-17,2017-10-16,Inactive,-79.374262,43.659948,2016,March,Spring
175,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Influenza A,2016-03-17,2016-04-04,Inactive,-79.13997840570175,43.7988385,2016,March,Spring
176,True Davidson Acres - 3 East,200 Dawes Rd,LTCH,Respiratory,Influenza A,2016-03-15,2016-03-25,Inactive,-79.298175,43.69582,2016,March,Spring
177,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Respiratory,Streptococcus pyogenes,2016-03-14,2016-06-15,Inactive,-79.40816758965518,43.78889555517242,2016,March,Spring
178,Cummer Lodge - 2 North,205 Cummer Ave,LTCH,Enteric,Norovirus-like,2016-03-14,2016-03-29,Inactive,-79.40816758965518,43.78889555517242,2016,March,Spring
179,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Unable to identify,2016-03-14,2016-03-24,Inactive,-79.1825648,43.7754026,2016,March,Spring
180,Gibson Long Term Care - 4th Fl,1925 Steeles Ave E,LTCH,Respiratory,Respiratory syncytial virus,2016-03-14,2016-03-28,Inactive,-79.3758609,43.807618,2016,March,Spring
181,Tendercare Living Centre,1020 McNicoll Ave,LTCH,Respiratory,Metapneumovirus,2016-03-14,2016-04-01,Inactive,-79.3361316,43.8042581,2016,March,Spring
182,Midland Gardens Care Community,130 Midland Ave,LTCH,Respiratory,Influenza A,2016-03-14,2016-04-05,Inactive,-79.2469846,43.7077593,2016,March,Spring
183,Extendicare Craiglee - 3rd Fl,102 Craiglee Dr,LTCH,Respiratory,Influenza A,2016-03-11,2016-03-22,Inactive,-79.2528019,43.7067792,2016,March,Spring
184,St. George Care Community,225 St George St,LTCH,Respiratory,Influenza A,2016-03-11,2016-03-21,Inactive,-79.401462,43.672538,2016,March,Spring
185,Greenview Lodge,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A,2016-03-11,2016-03-21,Inactive,-79.3489587,43.7361257,2016,March,Spring
186,Revera Westside,1145 Albion Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-03-10,2016-03-29,Inactive,-79.5667899,43.7373503,2016,March,Spring
187,St. John's Rehabilitation Hospital - A2,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-03-09,2016-03-17,Inactive,-79.40424676206896,43.789755968965515,2016,March,Spring
188,Castleview Wychwood Towers - 4th Fl,351 Christie St,LTCH,Respiratory,Influenza A,2016-03-09,2016-03-19,Inactive,-79.42113793274277,43.673349,2016,March,Spring
189,Extendicare Rouge Valley - Clarke House,551 Conlins Rd,LTCH,Respiratory,Influenza A,2016-03-09,2016-03-16,Inactive,-79.1894286,43.8029937,2016,March,Spring
190,"New Horizons Tower - Fls 2, 3, 5, 7, 11, 14 & 16",1140 Bloor St W,Retirement Home,Respiratory,Unable to identify,2016-03-09,2016-03-28,Inactive,-79.43604266376147,43.659954600000006,2016,March,Spring
191,Salvation Army Meighen Retirement Residence,84 Davisville Ave,Retirement Home,Respiratory,Influenza B,2016-03-09,2016-03-17,Inactive,-79.393199,43.699527,2016,March,Spring
192,Providence Healthcare - B4 West Wing,3276 St Clair Ave E,Hospital-Chronic Care,Respiratory,Influenza B,2016-03-07,2016-03-13,Inactive,-79.2861565,43.7135926,2016,March,Spring
193,The Heritage Nursing Home,1195 Queen St E,LTCH,Respiratory,Influenza A,2016-03-07,2016-03-19,Inactive,-79.3316241,43.66280613333333,2016,March,Spring
194,Trilogy Long Term Care,340 McCowan Rd,LTCH,Respiratory,Influenza A,2016-03-07,2016-03-21,Inactive,-79.238633,43.73837,2016,March,Spring
195,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Unable to identify,2016-03-07,2016-03-18,Inactive,-79.567569,43.643719,2016,March,Spring
196,Kensington Gardens North - 2 East,45 Brunswick Ave,LTCH,Enteric,Unable to identify,2016-03-04,2016-03-21,Inactive,-79.404305,43.658784,2016,March,Spring
197,St. John's Rehabilitation Hospital - A4,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Coronavirus,2016-03-04,2016-03-17,Inactive,-79.40424676206896,43.789755968965515,2016,March,Spring
198,Kennedy Lodge Nursing Home - 2nd & 3rd Fl,1400 Kennedy Rd,LTCH,Respiratory,Metapneumovirus,2016-03-04,2016-03-18,Inactive,-79.28034723089634,43.763144877160734,2016,March,Spring
199,St. Michael's Hospital - 6 Bond,30 Bond St,Hospital-Acute Care,Respiratory,Influenza A,2016-03-02,2016-03-09,Inactive,-79.3784327,43.6542289,2016,March,Spring
200,The Wexford,1860 Lawrence Ave E,LTCH,Enteric,Unable to identify,2016-03-02,2016-03-12,Inactive,-79.3024148,43.7438388,2016,March,Spring
201,Tony Stacey Centre for Veterans Care,59 Lawson Rd,LTCH,Respiratory,Respiratory syncytial virus,2016-03-02,2016-03-31,Inactive,-79.16359737687672,43.78421151514884,2016,March,Spring
202,Sienna Living - Rockcliffe Care Community,3015 Lawrence Ave E,LTCH,Respiratory,Influenza A,2016-03-01,2016-03-21,Inactive,-79.2468577,43.7550969,2016,March,Spring
203,McCall Centre for Continuing Care - 2nd Fl,140 Sherway Dr,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-29,2016-03-08,Inactive,-79.562235,43.610033,2016,February,Winter
204,Retirement Suites by the Lake,2121 Kingston Rd,Retirement Home,Respiratory,Unable to identify,2016-02-29,2016-03-09,Inactive,-79.2561528,43.6979544,2016,February,Winter
205,The Briton House Retirement Home,720 Mount Pleasant Rd,Retirement Home,Respiratory,Coronavirus,2016-02-29,2016-03-31,Inactive,-79.38972427586208,43.70689917241379,2016,February,Winter
206,Rouge Valley Health System - Centenary Site - 10 West,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Influenza A,2016-02-26,2016-02-29,Inactive,-79.204964,43.78009,2016,February,Winter
207,Toronto Western Hospital - 8A & 8B,399 Bathurst St,Hospital-Acute Care,Respiratory,Influenza A,2016-02-24,2016-03-06,Inactive,-79.4059789,43.6537982,2016,February,Winter
208,Main Street Terrace,77 Main St,LTCH,Respiratory,Influenza A,2016-02-24,2016-03-07,Inactive,-79.29894248888888,43.681406233333334,2016,February,Winter
209,Sunnybrook Health Sciences Centre - LFSE & LFSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2016-02-24,2016-03-06,Inactive,-79.3792695,43.7235801,2016,February,Winter
210,The O'Neill Centre,33 Christie St,LTCH,Respiratory,Influenza B,2016-02-24,2016-03-15,Inactive,-79.4186528,43.6647391,2016,February,Winter
211,Toronto General Hospital - 5B,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza B,2016-02-23,2016-03-07,Inactive,-79.3869528,43.6583672,2016,February,Winter
212,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,Respiratory syncytial virus,2016-02-22,2016-03-02,Inactive,-79.40082,43.6866,2016,February,Winter
213,St Clair O'Connor Nursing Home - 3rd Fl,2701 St Clair Ave E,LTCH,Respiratory,Rhinovirus,2016-02-22,2016-03-04,Inactive,-79.3117512,43.7055002,2016,February,Winter
214,Sunnybrook Health Sciences Centre - LTSE,2075 Bayview Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-02-18,2016-03-05,Inactive,-79.3792695,43.7235801,2016,February,Winter
215,Holland Bloorview Kids Rehabilitation Hospital - BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-17,2016-02-25,Inactive,-79.37434881971065,43.7182666,2016,February,Winter
216,Fudger House,439 Sherbourne St,LTCH,Respiratory,Influenza A,2016-02-17,2016-03-02,Inactive,-79.373735,43.666208,2016,February,Winter
217,Sts. Peter and Paul Residence,221 Milner Ave,Retirement Home,Respiratory,Respiratory syncytial virus,2016-02-16,2016-03-02,Inactive,-79.240031,43.7887289,2016,February,Winter
218,The Westbury,495 The West Mall,LTCH,Respiratory,Influenza A,2016-02-12,2016-02-24,Inactive,-79.567866,43.648303,2016,February,Winter
219,Mount Sinai Hospital - 10 South,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-09,2016-02-14,Inactive,-79.390445,43.657536,2016,February,Winter
220,St. John's Rehabilitation Hospital - A3,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-09,2016-02-23,Inactive,-79.40424676206896,43.789755968965515,2016,February,Winter
221,Mount Sinai Hospital - 10 North,600 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-08,2016-02-16,Inactive,-79.390445,43.657536,2016,February,Winter
222,West Park Healthcare Centre - 3EC,82 Buttonwood Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-02-05,2016-02-19,Inactive,-79.5098225,43.687805,2016,February,Winter
223,Hawthorne Place Care Centre,2045 Finch Ave W,LTCH,Enteric,Norovirus-like,2016-02-05,2016-02-19,Inactive,-79.5222631,43.7562487,2016,February,Winter
224,Belmont House - 2 Walker Wing,55 Belmont St,LTCH,Respiratory,Respiratory syncytial virus,2016-02-04,2016-02-16,Inactive,-79.39170138466517,43.67449825,2016,February,Winter
225,The Teddington Retirement Residence,4 Teddington Park Ave,Retirement Home,Respiratory,Parainfluenza,2016-02-04,2016-02-22,Inactive,-79.4040004,43.733129,2016,February,Winter
226,Salvation Army Toronto Grace Health Centre - 2nd & 3rd Fl,47 Austin Terr,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-02-03,2016-02-24,Inactive,-79.415943,43.678115,2016,February,Winter
227,Toronto Rehabilitation Institute - Bickle Centre - North 3,130 Dunn Ave,Hospital-Chronic Care,Respiratory,Influenza B,2016-02-03,2016-02-19,Inactive,-79.433068,43.634967,2016,February,Winter
228,Extendicare Bayview,550 Cummer Ave,LTCH,Enteric,Norovirus-like,2016-02-02,2016-02-19,Inactive,-79.3904512,43.7932278,2016,February,Winter
229,The Wexford,1860 Lawrence Ave E,LTCH,Respiratory,Influenza B,2016-02-02,2016-02-08,Inactive,-79.3024148,43.7438388,2016,February,Winter
230,St. Joseph's Health Centre - 4M,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-02-02,2016-02-15,Inactive,-79.450101,43.639359,2016,February,Winter
231,The Hospital for Sick Children - 6A,555 University Ave,Hospital-Acute Care,Respiratory,Influenza A,2016-02-01,2016-02-18,Inactive,-79.387438,43.657372,2016,February,Winter
232,Castleview Wychwood Towers,351 Christie St,LTCH,Respiratory,Influenza A,2016-02-01,2016-02-15,Inactive,-79.42113793274277,43.673349,2016,February,Winter
233,"Runnymede Healthcare Centre-2 East, 2 West, 4 East & 4 West",625 Runnymede Rd,Hospital-Chronic Care,Respiratory,Influenza A,2016-01-28,2016-02-11,Inactive,-79.481008,43.664497,2016,January,Winter
234,Toronto Rehabilitation Institute - University Centre-8 South,550 University Ave,Hospital-Chronic Care,Respiratory,Influenza A,2016-01-28,2016-02-05,Inactive,-79.389958,43.65667,2016,January,Winter
235,Holland Bloorview Kids Rehabilitation Hospital - 3W BIRT,150 Kilgour Rd,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-28,2016-02-08,Inactive,-79.37434881971065,43.7182666,2016,January,Winter
236,St. Joseph's Health Centre - 6G,30 The Queensway,Hospital-Acute Care,Respiratory,Influenza A,2016-01-28,2016-02-13,Inactive,-79.450101,43.639359,2016,January,Winter
237,Salvation Army Toronto Grace Health Centre - PACR (unit 4),47 Austin Terrace,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-07,Inactive,-79.415943,43.678115,2016,January,Winter
238,Wellesley Central Place,160 Wellesley St E,LTCH,Respiratory,Influenza A,2016-01-25,2016-02-03,Inactive,-79.375496,43.667154,2016,January,Winter
239,West Park Long Term Care Centre - 2nd Fl Weston/Mulholland,82 Buttonwood Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-11,Inactive,-79.5098225,43.687805,2016,January,Winter
240,St. Bernard's Residence,685 Finch Ave W,Retirement Home,Respiratory,Respiratory syncytial virus,2016-01-25,2016-02-05,Inactive,-79.4561852,43.7709198,2016,January,Winter
241,Eatonville Care Centre - 4th & 5th Fl,420 The East Mall,LTCH,Respiratory,Rhinovirus,2016-01-22,2016-02-05,Inactive,-79.560686,43.64745,2016,January,Winter
242,Hellenic Care for Seniors,215 Tyrrel Ave,LTCH,Enteric,Norovirus-like,2016-01-22,2016-02-01,Inactive,-79.4297725,43.6768778,2016,January,Winter
243,Valleyview Residence,541 Finch Ave W,LTCH,Enteric,Norovirus-like,2016-01-20,2016-02-16,Inactive,-79.4482104,43.7727096,2016,January,Winter
244,St. John's Rehabilitation Hospital - A1,285 Cummer Ave,Hospital-Chronic Care,Respiratory,Respiratory syncytial virus,2016-01-20,2016-02-19,Inactive,-79.40424676206896,43.789755968965515,2016,January,Winter
245,Chester Village,3555 Danforth Ave,LTCH,Respiratory,Influenza B,2016-01-19,2016-02-03,Inactive,-79.27409672758621,43.69413068275862,2016,January,Winter
246,Sunnybrook Health Sciences Centre - LSSW,2075 Bayview Ave,LTCH,Respiratory,Coronavirus,2016-01-19,2016-01-27,Inactive,-79.3792695,43.7235801,2016,January,Winter
247,The O'Neill Centre,33 Christie St,LTCH,Enteric,Unable to identify,2016-01-19,2016-01-25,Inactive,-79.4186528,43.6647391,2016,January,Winter
248,Villa Colombo - 2nd Fl - Fusco Wing,40 Playfair Ave,LTCH,Enteric,Norovirus-like,2016-01-14,2016-01-29,Inactive,-79.45668174072816,43.71094909999999,2016,January,Winter
249,"Midland Gardens Care Community - 3rd, 4th & 6th Fl",130 Midland Ave,LTCH,Respiratory,Respiratory syncytial virus,2016-01-11,2016-02-01,Inactive,-79.2469846,43.7077593,2016,January,Winter
250,Sunnybrook Health Sciences Centre - LFSW,2075 Bayview Ave,LTCH,Respiratory,Enterovirus/Rhinovirus,2016-01-11,2016-01-18,Inactive,-79.3792695,43.7235801,2016,January,Winter
251,Altamont Care Community,92 Island Rd,LTCH,Respiratory,Coronavirus,2016-01-11,2016-01-26,Inactive,-79.13997840570175,43.7988385,2016,January,Winter
252,Wesburn Manor,400 The West Mall,LTCH,Respiratory,Rhinovirus,2016-01-08,2016-02-09,Inactive,-79.567569,43.643719,2016,January,Winter
253,West Park Long Term Care Centre - 3rd Fl -Glenwyld & Raymore,82 Buttonwood Ave,LTCH,Respiratory,Coronavirus,2016-01-08,2016-01-21,Inactive,-79.5098225,43.687805,2016,January,Winter
254,Ehatare Nursing Home,40 Old Kingston Rd,LTCH,Respiratory,Coronavirus,2016-01-07,2016-01-18,Inactive,-79.1825648,43.7754026,2016,January,Winter
255,Elm Grove Living Centre - 1st & 3rd Fl,35 Elm Grove Ave,LTCH,Respiratory,Coronavirus,2016-01-06,2016-01-15,Inactive,-79.43074080619229,43.6403384,2016,January,Winter
256,Deerwood Creek Care Community,70 Humberline Dr,LTCH,Enteric,Norovirus-like,2016-01-04,2016-01-25,Inactive,-79.616344,43.731729,2016,January,Winter
257,The Heritage Nursing Home,1195 Queen St E,LTCH,Enteric,Norovirus-like,2016-01-04,2016-01-18,Inactive,-79.3316241,43.66280613333333,2016,January,Winter
258,Belmont House - 5WW,55 Belmont St,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-10,Inactive,-79.39170138466517,43.67449825,2017,December,Winter
259,North Park Nursing Home - 2nd Fl,450 Rustic Rd,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-26,Inactive,-79.48187197868482,43.71729432043269,2017,December,Winter
260,Ina Grafton Gage Home - 1st Fl,40 Bell Estate Rd,LTCH,Respiratory,Unable to identify,2017-12-29,2018-01-08,Inactive,-79.2753435,43.7058073,2017,December,Winter
261,Greenview Lodge Retirement Home,880 Lawrence Ave E,Retirement Home,Respiratory,Influenza A,2017-12-29,2018-01-15,Inactive,-79.3489587,43.7361257,2017,December,Winter
262,Toronto General Hospital - 8 Eaton South,200 Elizabeth St,Hospital-Acute Care,Respiratory,Influenza A,2017-12-28,2018-01-05,Inactive,-79.3869528,43.6583672,2017,December,Winter
263,Baycrest Hospital - 3E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,Influenza A,2017-12-27,2018-01-05,Inactive,-79.4361036,43.7292745,2017,December,Winter
264,William Osler Health System - 10th Fl Medicine/Respiratory,101 Humber College Blvd,Hospital-Acute Care,Respiratory,Influenza A,2017-12-26,2018-01-02,Inactive,-79.5991896,43.7306053,2017,December,Winter
265,Leaside Retirement Residence - Building 10,10 William Morgan Dr,Retirement Home,Respiratory,Influenza A,2017-12-25,2018-01-09,Inactive,-79.341769,43.709379,2017,December,Winter
266,Sunnybrook Health Sciences Centre - LTSW,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-12-25,2018-01-03,Inactive,-79.3792695,43.7235801,2017,December,Winter
267,Castleview Wychwood Tower - 5th Fl,351 Christie St,LTCH,Respiratory,Unable to identify,2017-12-24,2018-01-05,Inactive,-79.42113793274277,43.673349,2017,December,Winter
268,Chartwell Trilogy Long Term Care Residence - 3rd Fl,340 McCowan Rd,LTCH,Respiratory,Unable to identify,2017-12-24,2018-01-02,Inactive,-79.238633,43.73837,2017,December,Winter
269,Sunnybrook Health Sciences Centre - K3E,2075 Bayview Ave,LTCH,Respiratory,Influenza A,2017-12-22,2017-12-30,Inactive,-79.3792695,43.7235801,2017,December,Winter
